77,D5,FALSE,fxs,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.973,0.829,1.141,28.871,28.88,0.048,,0.168,0.144,0.083,0.04,TRUE,0.332,TRUE,3,23,Amp,,0.982,N,N,N,N,N,N,N,N
78,D6,FALSE,fxs,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.973,0.829,1.141,28.931,28.88,0.048,,0.168,0.144,0.083,0.04,TRUE,0.332,TRUE,3,23,Amp,,0.991,N,N,N,N,N,N,N,N
79,D7,FALSE,GM25953,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.952,0.875,1.036,27.593,27.521,0.063,,0.199,0.076,0.044,0.07,TRUE,0.332,TRUE,3,21,Amp,,0.981,N,N,N,N,N,N,N,N
80,D8,FALSE,GM25953,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.952,0.875,1.036,27.476,27.521,0.063,,0.199,0.076,0.044,0.07,TRUE,0.332,TRUE,3,21,Amp,,0.986,N,N,N,N,N,N,N,N
81,D9,FALSE,GM25953,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.952,0.875,1.036,27.493,27.521,0.063,,0.199,0.076,0.044,0.07,TRUE,0.332,TRUE,3,20,Amp,,0.989,N,N,N,N,N,N,N,N
82,D10,FALSE,GM25975,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.923,1.06,26.975,26.96,0.035,,0.144,0.062,0.036,0.016,TRUE,0.332,TRUE,3,21,Amp,,0.989,N,N,N,N,N,N,N,N
83,D11,FALSE,GM25975,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.923,1.06,26.92,26.96,0.035,,0.144,0.062,0.036,0.016,TRUE,0.332,TRUE,3,21,Amp,,0.987,N,N,N,N,N,N,N,N
84,D12,FALSE,GM25975,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.989,0.923,1.06,26.984,26.96,0.035,,0.144,0.062,0.036,0.016,TRUE,0.332,TRUE,3,21,Amp,,0.992,N,N,N,N,N,N,N,N
85,D13,FALSE,GM25974,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.951,0.883,1.023,26.881,26.955,0.065,,0.201,0.066,0.038,0.073,TRUE,0.332,TRUE,3,21,Amp,,0.984,N,N,N,N,N,N,N,N
86,D14,FALSE,GM25974,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.951,0.883,1.023,27.003,26.955,0.065,,0.201,0.066,0.038,0.073,TRUE,0.332,TRUE,3,21,Amp,,0.976,N,N,N,N,N,N,N,N
